"","char","freq"
"888","时间",2
"889","支持",3
"890","中国",1
"891","表达",1
"892","想法",1
"893","宝贵",1
"894","感觉",2
"895","旁边",1
"896","头发",5
"897","举办",1
"898","拿",1
"899","重点",1
"900","但",2
"901","反差",1
"902","牙膏",3
"903","仁",1
"904","双鱼座",1
"905","一",1
"906","超好",1
"907","第一眼",1
"908","慢慢",2
"909","那",8
"910","合拍",1
"911","傻得",1
"912","我俩",2
"913","手指",1
"914","俩",2
"915","事情",4
"916","想要",12
"917","一块",1
"918","自从",1
"919","鼓励",1
"920","带上",3
"921","间",2
"922","低帮",1
"923","面前",1
"924","歌单",1
"925","摘掉",1
"926","打理",1
"927","不会",8
"928","前段时间",1
"929","扎",3
"930","面试",1
"931","帮",1
"932","圈",1
"933","好久",2
"934","过",4
"935","下",1
"936","呗",1
"937","先想",1
"938","黑白",1
"939","全",1
"940","什么样",1
"941","了吗",1
"942","长过",1
"943","最",10
"944","勤",2
"945","这",2
"946","安慰",1
"947","照片",3
"948","别",1
"949","偷偷地",1
"950","队",1
"951","站",4
"952","熬夜",1
"953","爆肝",1
"954","洗完",2
"955","放空",1
"956","举灯牌",1
"957","看",13
"958","吧",31
"959","状态",2
"960","有存",1
"961","不想",2
"962","跑",1
"963","存",1
"964","舞",1
"965","大嘴巴",1
"966","今天",7
"967","小",1
"968","盒",1
"969","我用",1
"970","东西",6
"971","耳洞",1
"972","活动",1
"973","说话",1
"974","左边",1
"975","芭蕾",1
"976","打",5
"977","所以",12
"978","初一",1
"979","戴眼镜",3
"980","说",18
"981","派",1
"982","我要",1
"983","亲自",1
"984","基础",1
"985","刷牙",2
"986","电动牙刷",3
"987","早晚",1
"988","乖乖",1
"989","娱乐",1
"990","听话",2
"991","一件",1
"992","风",1
"993","一周",2
"994","果",1
"995","工作",1
"996","太大",1
"997","才华",1
"998","曾经",1
"999","印象",1
